frame	"t, s"	id	type	Px	Py	Pt	Sx	Sy	St	Tx	Ty	Tt	mode	ctrl.img.filename
2392	3.505	50	A	958.5	354	0	955.341	357.04	0	955	950	0	Unsticking	default
2393	3.523	50	A	958.5	354	0	955.341	357.04	0	955	950	0	Tracking	default
2394	3.541	50	A	959	354	0	963.547	357.026	90.3845	955	950	0	Tracking	default
2395	3.559	50	A	958.5	354	0	963.547	357.026	90.3365	955	950	0	Tracking	default
2396	3.577	50	A	958.5	354	0	963.547	357.026	90.3364	955	950	0	Tracking	default
2397	3.595	50	A	958.5	354	0	963.547	357.026	90.3364	955	950	0	Tracking	default
2398	3.599	50	A	958.5	354	0	963.547	357.026	90.3364	955	950	0	Tracking	default
2399	3.617	50	A	958.5	354	0	963.547	357.026	90.3365	955	950	0	Tracking	default
2400	3.635	50	A	956.15	389.45	0	947.085	390.356	89.8851	955	950	0	Tracking	default
2401	3.649	50	A	956.15	389.45	0	963.499	390.329	90.1164	955	950	0	Tracking	default
2402	3.667	50	A	956.15	389.45	0	963.499	390.329	90.1172	955	950	0	Tracking	default
2403	3.685	50	A	956.1	389.3	0	963.499	390.329	90.1124	955	950	0	Tracking	default
2404	3.703	50	A	956.1	389.3	0	963.499	390.329	90.1128	955	950	0	Tracking	default
2405	3.721	50	A	955.094	396.423	0	947.061	407.007	90.0092	955	950	0	Tracking	default
2406	3.739	50	A	955.854	421.369	0	963.45	423.631	90.0924	955	950	0	Tracking	default
2407	3.757	50	A	955.826	421.371	0	963.45	423.631	90.0896	955	950	0	Tracking	default
2408	3.775	50	A	955.826	421.371	0	963.45	423.631	90.0896	955	950	0	Tracking	default
2409	3.793	50	A	955.862	421.376	0	963.45	423.631	90.0936	955	950	0	Tracking	default
2410	3.811	50	A	956	421.5	0	963.45	423.631	90.1085	955	950	0	Tracking	default
2411	3.829	50	A	956.5	466.5	0	963.376	473.584	90.1783	955	950	0	Tracking	default
2412	3.845	50	A	955.578	456.588	0	963.401	456.933	90.067	955	950	0	Tracking	default
2413	3.849	50	A	955.578	456.588	0	963.401	456.933	90.0668	955	950	0	Tracking	default
2414	3.867	50	A	956	457	0	963.401	456.933	90.1162	955	950	0	Tracking	default
2415	3.885	50	A	956	457	0	963.401	456.933	90.1163	955	950	0	Tracking	default
2416	3.899	50	A	956.071	458.202	0	963.401	456.933	90.125	955	950	0	Tracking	default
2417	3.917	50	A	956.5	458	0	963.401	456.933	90.1751	955	950	0	Tracking	default
2418	3.935	50	A	956	458.5	0	963.401	456.933	90.1166	955	950	0	Tracking	default
2419	3.953	50	A	956.5	459	0	963.401	456.933	90.1753	955	950	0	Tracking	default
2420	3.971	50	A	956	485	0	963.352	490.235	90.1231	955	950	0	Tracking	default
2421	3.989	50	A	956	481.5	0	963.352	490.235	90.1221	955	950	0	Tracking	default
2422	4.005	50	A	955	494	0	946.938	490.262	89.9991	955	950	0	Tracking	default
2423	4.02	50	A	955	493.5	0	946.938	490.262	89.9991	955	950	0	Tracking	default
2424	4.038	50	A	955.5	527	0	963.303	523.537	90.0676	955	950	0	Tracking	default
2425	4.056	50	A	955.5	527	0	963.303	523.537	90.0679	955	950	0	Tracking	default
2426	4.074	50	A	955.5	527	0	963.303	523.537	90.068	955	950	0	Tracking	default
2427	4.092	50	A	955.686	526.339	0	963.303	523.537	90.0931	955	950	0	Tracking	default
2428	4.108	50	A	955	564.5	0	946.816	573.517	89.9995	955	950	0	Tracking	default
2429	4.122	50	A	955	569	0	946.816	573.517	89.9994	955	950	0	Tracking	default
2430	4.138	50	A	955.5	553.5	0	963.254	556.839	90.0724	955	950	0	Tracking	default
2431	4.152	50	A	955.5	559	0	963.254	556.839	90.0736	955	950	0	Tracking	default
2432	4.168	50	A	956	559	0	963.254	556.839	90.1475	955	950	0	Tracking	default
2433	4.186	50	A	956	559	0	963.254	556.839	90.1473	955	950	0	Tracking	default
2434	4.204	50	A	956.5	592.5	0	963.205	590.141	90.2416	955	950	0	Tracking	default
2435	4.222	50	A	956.5	591.5	0	963.205	590.141	90.2407	955	950	0	Tracking	default
2436	4.24	50	A	957	592	0	963.205	590.141	90.3213	955	950	0	Tracking	default
2437	4.256	50	A	956.5	591.5	0	963.205	590.141	90.24	955	950	0	Tracking	default
2438	4.274	50	A	948.599	617.742	0	946.743	623.47	88.8838	955	950	0	Tracking	default
2439	4.292	50	A	950.355	612.7	0	946.743	623.47	89.2016	955	950	0	Tracking	default
2440	4.31	50	A	950.16	612.571	0	946.743	623.47	89.1725	955	950	0	Tracking	default
2441	4.328	50	A	950.302	612.527	0	946.743	623.47	89.2002	955	950	0	Tracking	default
2442	4.346	50	A	950.16	612.571	0	946.743	623.47	89.1791	955	950	0	Tracking	default
2443	4.35	50	A	952.992	618.949	0	946.743	623.47	89.1781	955	950	0	Tracking	default
2444	4.368	50	A	953.081	619.038	0	946.743	623.47	89.6568	955	950	0	Tracking	default
2445	4.384	50	A	953.081	618.538	0	946.743	623.47	89.6721	955	950	0	Tracking	default
2446	4.4	50	A	953.132	618.88	0	946.743	623.47	89.6712	955	950	0	Tracking	default
2447	4.418	50	A	953.132	618.88	0	946.743	623.47	89.6784	955	950	0	Tracking	default
2448	4.434	50	A	953.007	618.549	0	946.743	623.47	89.6554	955	950	0	Tracking	default
2449	4.45	50	A	956.362	620.168	0	963.156	623.443	90.2418	955	950	0	Tracking	default
2450	4.466	50	A	956	620	0	963.156	623.443	90.1783	955	950	0	Tracking	default
2451	4.484	50	A	956	653.5	0	963.108	656.745	90.1967	955	950	0	Tracking	default
2452	4.5	50	A	956	653	0	963.108	656.745	90.1946	955	950	0	Tracking	default
2453	4.518	50	A	956	653.5	0	963.108	656.745	90.1931	955	950	0	Tracking	default
2454	4.536	50	A	956	653.5	0	963.108	656.745	90.1933	955	950	0	Tracking	default
2455	4.554	50	A	956.5	653	0	963.108	656.745	90.2903	955	950	0	Tracking	default
2456	4.572	50	A	956.5	654.5	0	963.108	656.745	90.2918	955	950	0	Tracking	default
2457	4.59	50	A	956.5	654.5	0	963.108	656.745	90.2915	955	950	0	Tracking	default
2458	4.606	50	A	956.5	660.5	0	963.108	656.745	90.2973	955	950	0	Tracking	default
2459	4.624	50	A	957	660.5	0	963.108	656.745	90.3969	955	950	0	Tracking	default
2460	4.642	50	A	957	660.5	0	963.108	656.745	90.3969	955	950	0	Tracking	default
2461	4.66	50	A	957	660.5	0	963.108	656.745	90.3965	955	950	0	Tracking	default
